1885047,August Rush (2007),68752,7.6
1885062,August: Osage County (2013),12338,7.4
1885664,Austin Powers in Goldmember (2002),130258,6.2
1885666,Austin Powers: International Man of Mystery (1997),144373,7.0
1885668,Austin Powers: The Spy Who Shagged Me (1999),145450,6.6
1885679,Australia (2008),84435,6.6
1885876,Auto Focus (2002),10302,6.6
1886271,Autumn in New York (2000),16741,5.4
1886386,Av mevsimi (2010),10869,7.4
1886471,Avalon (2001),10256,6.6
1886615,Avatar (2009),646528,8.0
1887253,Awake (2007),53185,6.5
1887371,Awakenings (1990),68576,7.7
1887472,Away We Go (2009),39036,7.1
1887450,Away from Her (2006),16481,7.6
1888407,Azumi (2003),11398,6.9
1898037,BASEketball (1998),41213,6.6
1888776,Ba wang bie ji (1993),13059,8.1
1889078,Babe (1995),75252,6.9
1889106,Babe: Pig in the City (1998),18945,5.8
1889115,Babel (2006),197052,7.5
1889239,Babettes gæstebud (1987),10726,7.9
1889669,Baby Geniuses (1999),14474,2.4
1889752,Baby Mama (2008),27663,6.1
1889872,Baby's Day Out (1994),23118,5.8
1889980,Babylon A.D. (2008),67246,5.5
1890157,Bacheha-Ye aseman (1997),17512,8.4
1890188,Bachelor Party (1984),23454,6.2
1890219,Bachelorette (2012),26203,5.3
1890633,Back to School (1986),17262,6.5
1890677,Back to the Future (1985),464557,8.5
1890682,Back to the Future Part II (1989),214937,7.8
1890684,Back to the Future Part III (1990),178182,7.4
1890863,Backdraft (1991),47983,6.7
1891260,Bad Ass (2012),11683,5.4
1891367,Bad Boys (1995),122694,6.8
1891380,Bad Boys II (2003),135533,6.5
1891434,Bad Company (2002),34282,5.6
1891475,Bad Day at Black Rock (1955),11400,7.8
1891684,Bad Lieutenant (1992),23391,7.1
1891778,Bad News Bears (2005),14449,5.8
1891835,Bad Santa (2003),87551,7.2
1891854,Bad Taste (1987),29878,6.8
1891856,Bad Teacher (2011),120471,5.7
1892108,Badlands (1973),34874,7.9
1892908,Baiohazâdo: Dijenerêshon (2008),20414,6.6
1892926,Baise-moi (2000),12684,4.5
1893325,Bakjwi (2009),23562,7.2
1894188,Ballistic: Ecks vs. Sever (2002),15252,3.6
1894305,Balls of Fury (2007),30668,5.2
1894399,Balto (1995),21300,7.0
1894486,Bambi (1942),61060,7.4
1894731,Bananas (1971),21886,7.1
1894896,Bande à part (1964),12323,7.9
1894961,Bandidas (2006),23452,5.7
1895024,Bandits (2001),49040,6.6
1895369,Bangkok Dangerous (2008),39730,5.4
1895560,Banlieue 13 (2004),43383,7.2
2774210,Banlieue 13 - Ultimatum (2009),29213,6.5
1895957,Baraka (1992),20512,8.5
1896003,Barb Wire (1996),17814,3.1
1896092,Barbarella (1968),18872,5.9
1896195,Barbershop (2002),17208,6.3
1897150,Barfi! (2012),30991,8.3
1897152,Barfly (1987),11049,7.3
1897395,Barney's Version (2010),17375,7.4
1897463,Barnyard (2006),17491,5.6
1897749,Barry Lyndon (1975),72969,8.1
1897853,Barton Fink (1991),67747,7.8
1898122,Basic (2003),41799,6.5
1898138,Basic Instinct (1992),103548,6.9
1898139,Basic Instinct 2 (2006),25746,4.1
1898281,Basquiat (1996),13153,6.9
1898740,Batman & Robin (1997),147423,3.6
1898744,Batman (1966),18290,6.5
1898745,Batman (1989),206490,7.6
1898756,Batman Begins (2005),642909,8.3
1898774,Batman Forever (1995),146461,5.4
1898787,Batman Returns (1992),160554,7.0
1898827,Batman: Mask of the Phantasm (1993),20809,7.8
1898877,Batoru rowaiaru (2000),110964,7.8
1898878,Batoru rowaiaru II: Chinkonka (2003),13216,4.7
1899080,Battle Los Angeles (2011),128974,5.8
1899051,Battle for the Planet of the Apes (1973),17454,5.4
1899071,Battle in Seattle (2007),11035,6.8
1899091,Battle of Britain (1969),12513,7.0
1899314,Battlefield Earth (2000),56383,2.4
1899361,Battleship (2012),153690,5.9
1899965,Be Cool (2005),52156,5.6
1900028,Be Kind Rewind (2008),69826,6.4
1900338,Beaches (1988),14419,6.7
1900387,Bean (1997),58939,6.2
1900622,Beastly (2011),44400,5.5
1900642,Beasts of the Southern Wild (2012),53780,7.3
1901081,Beautiful Creatures (2013),41222,6.2
1901124,Beautiful Girls (1996),22900,7.3
1901241,Beautiful Thing (1996),14418,7.9
1901455,Beauty Shop (2005),10155,5.4
1901337,Beauty and the Beast (1991),201139,8.1
1901545,Beavis and Butt-Head Do America (1996),36127,6.7
1901619,Because I Said So (2007),26453,5.5
1901784,Becoming Jane (2007),33648,7.1
1901915,Bedazzled (2000),66987,5.9
1901974,Bedknobs and Broomsticks (1971),19154,7.0
1902084,Bedtime Stories (2008),56331,6.1
1902148,Bee Movie (2007),79437,6.2
1902289,Beerfest (2006),45549,6.3
1902329,Beethoven (1992),35092,5.4
1902342,Beethoven's 2nd (1993),14059,4.6
1902368,Beetle Juice (1988),135470,7.4
1902488,Before Midnight (2013),44455,8.1
1902498,Before Night Falls (2000),17967,7.3
1902516,Before Sunrise (1995),113815,8.1
1902519,Before Sunset (2004),108752,8.1
1902538,Before the Devil Knows You're Dead (2007),69094,7.3
1902753,Beginners (2010),53449,7.2
1902964,Behind Enemy Lines (2001),68991,6.4
1903216,Behind the Mask: The Rise of Leslie Vernon (2006),13868,6.8
1903847,Being Flynn (2012),10228,6.4
1903890,Being John Malkovich (1999),203951,7.8
1903953,Being There (1979),41702,8.1
1904090,Bel Ami (2012),12600,5.4
1904574,Belle de jour (1967),22003,7.8
1904852,Below (2002),14654,6.2
1905206,Ben X (2007),13555,7.5
1905227,Ben-Hur (1959),112500,8.2
1905290,Bend It Like Beckham (2002),72072,6.7
